iter	Passed	Remaining
403	11023	2319
404	11050	2291
405	11076	2264
406	11104	2237
407	11138	2211
408	11164	2183
409	11197	2157
410	11230	2131
411	11259	2104
412	11283	2076
413	11308	2048
414	11338	2021
415	11365	1994
416	11393	1967
417	11423	1940
418	11455	1913
419	11482	1886
420	11509	1859
421	11534	1831
422	11560	1803
423	11586	1776
424	11617	1749
425	11646	1722
426	11686	1696
427	11714	1669
428	11753	1643
429	11786	1617
430	11822	1590
431	11856	1564
432	11894	1538
433	11930	1511
434	11960	1484
435	11999	1458
436	12042	1433
437	12079	1406
438	12108	1379
439	12134	1351
440	12163	1323
441	12189	1296
442	12214	1268
443	12245	1241
444	12269	1213
445	12298	1185
446	12321	1157
447	12346	1129
448	12368	1101
449	12397	1074
450	12422	1046
451	12445	1018
452	12470	991
453	12494	963
454	12541	937
455	12583	910
456	12624	883
457	12674	857
458	12733	832
459	12798	806
460	12870	781
461	12920	755
462	13010	730
463	13091	705
464	13150	678
465	13194	651
466	13235	623
467	13287	596
468	13449	573
469	13600	549
470	13732	524
471	13829	498
472	13861	468
473	13897	439
474	13945	411
475	13985	381
476	14017	352
477	14049	323
478	14086	294
479	14129	264
480	14179	235
481	14220	206
482	14273	177
483	14326	148
484	14368	118
485	14425	89
486	14461	59
487	14503	29
488	14557	0
