iter	RMSE
258	1.411819191
259	1.411727751
260	1.411554622
261	1.411339535
262	1.41118055
263	1.41094
264	1.410787159
265	1.410600802
266	1.410331605
267	1.409897189
268	1.409761742
269	1.409559885
270	1.409448605
271	1.409245774
272	1.409104111
273	1.408948741
274	1.408727715
275	1.408375944
276	1.408100859
277	1.407876113
278	1.407732483
279	1.407540727
280	1.407374749
281	1.407180996
282	1.407009571
283	1.406856398
284	1.406728992
285	1.406562286
286	1.406259517
287	1.405936156
288	1.405805993
289	1.405684862
290	1.405605568
291	1.40536751
292	1.405209188
293	1.405067862
294	1.404879667
295	1.404741384
296	1.404610095
297	1.404482821
298	1.40418365
299	1.404003466
300	1.403841417
301	1.403587261
302	1.40343827
303	1.403356465
304	1.403212034
305	1.403122063
306	1.402980888
307	1.402915883
308	1.402700861
309	1.402506569
310	1.402315149
311	1.40206972
312	1.401932558
313	1.401754599
314	1.401632591
315	1.401437998
316	1.401360731
317	1.401218038
318	1.400972567
319	1.400901297
320	1.400811843
321	1.400563847
322	1.400431154
323	1.400220847
324	1.400072306
325	1.399751005
326	1.399615032
327	1.39943858
328	1.399320807
329	1.399223617
330	1.399144308
331	1.399069871
332	1.39891271
333	1.398763139
334	1.398558242
335	1.398417711
336	1.398228578
337	1.398048962
338	1.39783795
339	1.39774401
340	1.397660653
341	1.397454472
342	1.397275145
343	1.397151544
344	1.397039997
345	1.396884476
346	1.396663157
347	1.396465553
348	1.396342402
349	1.396184277
350	1.395881657
351	1.395784412
352	1.39563402
353	1.395550006
354	1.395445913
355	1.395318677
356	1.39512838
357	1.395002546
358	1.394840957
359	1.39466154
360	1.394546651
361	1.394345495
362	1.394201844
363	1.39393979
364	1.393797348
365	1.393648742
366	1.393440549
367	1.393334427
368	1.393180811
369	1.393066048
370	1.39296287
371	1.392866307
372	1.392621803
373	1.392402567
374	1.392171005
375	1.391993265
376	1.391872775
377	1.391675009
378	1.391514215
379	1.391386606
380	1.391222439
381	1.391105858
382	1.391057822
383	1.390989808
384	1.390856352
385	1.39066642
386	1.390549203
387	1.390428464
388	1.390193479
389	1.390099845
390	1.389936034
391	1.38976271
392	1.389582912
393	1.389367435
394	1.389231625
395	1.389081952
396	1.388857773
397	1.388639343
398	1.388481463
399	1.388283645
400	1.388163641
401	1.388037744
402	1.387864742
403	1.387670048
404	1.387569172
405	1.387445335
406	1.38721428
407	1.387008691
408	1.386923223
409	1.386771049
410	1.386697121
411	1.386588128
412	1.386486801
413	1.386348297
414	1.386184194
415	1.385993292
416	1.385877411
417	1.385781915
418	1.38557181
419	1.385470243
420	1.385302415
421	1.385170881
422	1.385045065
423	1.384881561
424	1.384699676
425	1.38454144
426	1.384373464
427	1.384230473
428	1.383979056
429	1.383910628
430	1.383773267
431	1.383612256
432	1.383433992
433	1.383343581
434	1.383272585
435	1.383140376
436	1.382968226
437	1.382795697
438	1.382679256
439	1.382559296
440	1.382303512
441	1.382215322
442	1.381966199
443	1.381794182
444	1.381631625
445	1.381501647
446	1.381334586
447	1.381159439
448	1.381027693
449	1.38082083
450	1.380564755
451	1.380370755
452	1.380193619
453	1.380094024
454	1.379861153
455	1.379760054
456	1.379683665
457	1.379413628
458	1.379270486
459	1.379133734
460	1.379031804
461	1.378776587
462	1.378603139
463	1.378420193
464	1.378223262
465	1.378092971
466	1.377977395
467	1.377889939
468	1.377732271
469	1.377528273
470	1.377426706
471	1.377284722
472	1.377119859
473	1.37704008
474	1.376949074
475	1.376787512
476	1.376635566
477	1.3765979
478	1.376474146
479	1.376352687
480	1.376074232
481	1.375986615
482	1.375854355
483	1.375634812
484	1.375476517
485	1.375377643
486	1.375286229
487	1.375135269
488	1.37495297
